city_mpg,class,combination_mpg,displacement,drive,highway_mpg,make,model,transmission,year
22,midsize car,25,2.5,rwd,32,kia,stinger rwd,a,2022
17,large car,20,3.3,rwd,25,genesis,g80 rwd,a,2018
19,two seater,22,3.0,rwd,27,jaguar,f-type s coupe,a,2016
17,minivan,19,3.3,fwd,22,kia,sedona sxl,a,2016
27,small station wagon,29,1.6,fwd,32,kia,soul,a,2021
25,small sport utility vehicle,27,2.0,4wd,30,mazda,cx-5 4wd,a,2015
21,small sport utility vehicle,22,2.4,awd,25,kia,sportage fe awd,a,2017
26,midsize car,29,2.0,fwd,36,hyundai,elantra,m,2017
21,small sport utility vehicle,24,2.4,fwd,28,jeep,compass fwd,a,2014
21,small sport utility vehicle,24,2.4,fwd,28,kia,sorento fwd,a,2016
23,subcompact car,27,2.0,fwd,33,mini,john cooper works hardtop,m,2021
28,compact car,30,1.6,fwd,34,hyundai,veloster,a,2021
19,two seater,22,3.0,rwd,27,jaguar,f-type s coupe,a,2017
19,two seater,22,3.0,rwd,27,jaguar,f-type convertible,a,2016
25,small sport utility vehicle,27,2.0,4wd,30,mazda,cx-5 4wd,a,2014
20,small sport utility vehicle,22,2.4,awd,26,hyundai,santa fe sport awd,a,2017
21,compact car,23,2.0,awd,27,subaru,wrx,m,2018
21,compact car,25,3.0,rwd,32,bmw,440i coupe,a,2018
18,small pickup truck,21,3.6,rwd,25,chevrolet,colorado 2wd,a,2021
15,two seater,18,5.0,awd,23,jaguar,f-type r awd convertible,a,2016
14,subcompact car,16,4.4,rwd,20,bmw,m6 convertible,a,2018
25,small sport utility vehicle,28,1.8,fwd,33,honda,hr-v 2wd,m,2016
121,subcompact car,112,,rwd,102,mitsubishi,i-miev,a,2017
21,small sport utility vehicle,23,2.4,4wd,27,jeep,patriot 4wd,a,2014
25,midsize car,29,2.5,fwd,36,mazda,6,m,2016
23,small sport utility vehicle,25,2.4,4wd,28,jeep,compass 4wd,m,2014
26,subcompact car,29,2.0,fwd,34,mini,john cooper works hardtop,a,2021
14,standard sport utility vehicle,16,6.2,4wd,21,cadillac,escalade 4wd,a,2015
20,subcompact car,23,3.0,awd,29,bmw,440i xdrive convertible,a,2018
17,compact car,19,2.5,awd,23,subaru,wrx,m,2015
26,compact car,29,1.6,fwd,32,hyundai,veloster,a,2016
17,compact car,20,3.3,rwd,26,genesis,g70 rwd,a,2021
28,subcompact car,31,1.5,fwd,37,mini,cooper hardtop 4 door,a,2021
25,midsize car,30,3.0,awd,38,audi,a6 quattro,a,2016
24,subcompact car,27,2.0,rwd,34,bmw,430i convertible,a,2018
26,midsize car,30,2.5,fwd,37,mazda,6,a,2016
28,small sport utility vehicle,31,1.8,fwd,34,honda,hr-v 2wd,a,2016
24,midsize car,27,2.0,fwd,32,hyundai,elantra gt,m,2016
